seri,tr_aciklama,ingilizce_adi
"TR,DF_BR_FAALIYET_GIRISIM_ONCE_V1,1.0",Ekonomik Faaliyete Göre Girişim Sayısı (2020 öncesi),Number of Enterprises by Economic Activity(Before 2020)
"TR,DF_BR_BUYUKLUK_GIRISIM_V1,1.0",Büyüklük Grubuna Göre Girişim Sayısı,Number of Enterprises by Size Group
"TR,DF_TRAFIK_KAZA_OLUMLU_YARALANMALI_KUSUR_V1,1.0",Ölüm veya yaralanma ile sonuçlanan trafik kazalarına neden olan kusurların sayısını ifade eder.,Number of Faults Causing Traffic Accidents Involving Death or Injury
"TR,DF_EVLENME_IL_ILCE,1.0",Yıllara göre il ve ilçe düzeyinde evlenme sayısıdır.,Number of Marriages by Province and District
"TR,DF_EVLENME_AKRABA_EVLILIK,1.0",Yıllar itibarıyla illere göre evlenme sayısı ile akraba evliliği sayısı ve oranıdır.,"Number of Marriages, Number of Marriages Between First Cousins and Proportion of Them by Provinces"
"TR,DF_MUZE_SAYISI_V3,1.0",Toplam müze sayılarını içerir.,Number of Museums
"TR,DF_TRAFIK_KAZA_NUFUS_TASIT_BASINA_OLU_YARALI_V1,1.0","Trafik kazalarında ölen ve yaralanan kişilerin nüfusa, taşıt sayısına ve taşıt-kilometreye oranlarını gösterir.","Number of Persons Killed and Injured in Road Traffic Accidents per Population, Vehicle and Billion Vehicle-km"
"TR,DF_MOTORLU_KARA_TASIT_YIL_ICINDE_DEVRI_YAPILAN_V2,1.0",Yıl içinde devri yapılan motorlu kara taşıt sayısını sunmaktadır.,Number of Road Motor Vehicles Handed over the Traffic During the Year by SR Level 1
"TR,DF_MOTORLU_KARA_TASIT_KAYDI_YAPILAN_IBBS_V2,1.0",İstatistiki Bölge Birimleri Sınıflaması 1. düzeye göre yıl içinde kaydı yapılan motorlu kara taşıt sayısını sunmaktadır.,Number of Road Motor Vehicles Registered to the Traffic During the Year by SR Level 1
"TR,DF_MOTORLU_KARA_TASIT_KAYDI_SILINEN_IBBS_V1,1.0",İstatistiki Bölge Birimleri Sınıflaması 1. düzeye göre yıl içinde kaydı silinen motorlu kara taşıt sayısını sunmaktadır.,Number of Road Motor Vehicles Withdrawn During the Year by SR Level 1
"TR,DF_MOTORLU_KARA_TASIT_KULLANIM_AMAC_V2,1.0",Kullanım amacına göre motorlu kara taşıt sayısını sunmaktadır.,Number of Road Motor Vehicles by Aim of Use
"TR,DF_MOTORLU_KARA_TASIT_YAKIT_TURU_V3,1.0",Kullanılan Yakıt Türüne Göre Motorlu Kara Taşıt Sayısı,Number of Road Motor Vehicles by Kind of Fuel Used
"TR,DF_MOTORLU_KARA_TASIT_MODEL_YIL_V2,1.0",Model yıllarına göre motorlu kara taşıt sayısını sunmaktadır.,Number of Road Motor Vehicles by Model Years
"TR,DF_TRAFIK_KAZA_TASIT_SAYI_TRAFIK_KAZA_V1,1.0",Kazaya karışan taşıt sayısına göre ölüm veya yaralanma ile sonuçlanan trafik kazalarının dağılımını gösterir.,Number of Road Traffic Accidents Involving Death or Injury and Results by Number of Vehicle Involved
"TR,DF_TRAFIK_KAZA_HAFTANIN_GUNLERI_OLU_YARALI_V1,1.0",Trafik kazalarının haftanın günlerine göre dağılımını ve ölü-yaralı sayılarını gösterir.,"Number of Road Traffic Accidents Involving Death or Injury, Persons Killed and Injured by Days of the Week"
"TR,DF_TRAFIK_KAZA_OLUM_YARALANMA_KAZA_OLU_YARALI_V1,1.0",Ölüm veya yaralanma ile sonuçlanan trafik kazalarının aylara göre dağılımını ve bu kazalardaki ölü ve yaralı sayılarını içerir.,"Number of Road Traffic Accidents Involving Death or Injury, Persons Killed and Injured by Months"
"TR,DF_TARIM_MAK_TRAKTOR,1.0",Traktör Sayısı (Beygir Gücüne Göre),Number of Tractors (By Horsepower)
"TR,DF_TRAFIK_KAZA_OLUSUM_SONUC_V1,1.0","Kazaların oluş şekline (çarpışma, devrilme, yoldan çıkma vb.) göre ölüm veya yaralanma durumlarını gösterir.",Number of Traffic Accidents Involving Death or Injury and Results by Formation of the Accidents
"TR,DF_TRAFIK_KAZA_YERLESIM_YER_OLUMLU_YARALANMALI_V1,1.0",Trafik kazalarının yerleşim yeri (yerleşim içi veya dışı) durumuna göre dağılımını ve bu kazalardaki ölü ve yaralı sayılarını gösterir.,"Number of Traffic Accidents Involving Death or Injury, Persons Killed and Injured According to Settlement"
"TR,DF_TRAFIK_KAZA_OLU_YARALI_V2,1.0",İllere göre meydana gelen trafik kazası sayısını ve bu kazalarda ölen ve yaralanan kişi sayılarını içerir.,"Number of Traffic Accidents, Persons Killed and Injured by Province"
"TR,DF_TRAFIK_KAZA_OLUMLU_YARALANMALI_KAZA_SURUCU_V2,1.0","Ölüm veya yaralanma ile sonuçlanan kazalara karışan taşıt sayısını, bu taşıtların cinslerini ve ölen veya yaralanan sürücü sayılarını gösterir.","Number of Vehicles Involved in Accidents with Death or Injury, Drivers Killed and Injured by Vehicle Type"
"TR,DF_TRAFIK_KAZA_KAYITLI_ARAC_OLU_YARALI_V1,1.0","Trafiğe kayıtlı toplam araç sayısı ile aynı dönemde meydana gelen trafik kazaları, bu kazalarda ölen ve yaralanan kişi sayısını gösterir.","Number of Vehicles Registered, Accident, Persons Killed and Injured"
"TR,DF_TRAFIK_KAZA_OLUMLU_YARALANMALI_KAZAZEDE_V1,1.0",Ölüm veya yaralanma ile sonuçlanan trafik kazalarına karışan ve etkilenen kişi sayısını gösterir.,Number of Victims of Traffic Accidents Involving Death or Injury
"TR,DF_MUZE_ORENYER_ZYARETCI,1.0",Müze ve ören yeri ziyaretçi sayısını içerir.,Number of Visitors to the Museums and Ruins
"TR,DF_TRAFIK_KAZA_INCINEBILIR_YOL_KULLANICI_PAY_V1,1.0","İncinilebilir yol kullanıcılarının (yaya, bisikletli, motosikletli vb.) kazalardaki ölü ve yaralı sayılarını ve toplam içindeki oranını gösterir.","Number of Vulnerable Road Users (1) Killed, Injured and Share in Total Killed and Injured Persons"
"TR,DF_BIYOTEK_PATENT,1.0",Biyoteknoloji faaliyetinde bulunan girişimlerin büyüklük grubuna göre biyoteknoloji patent ve tescil sayıları ile ilgili verileri içerir.,Number of biotechnology patent applications and approved biotechnology patents of enterprises active in biotechnology by size group
"TR,DF_RES_ILAN_GAZ_INT_EGITIM_CINSYET,1.0",Resmi ilan yayımlayan gazetelerde ve internet haber sitelerinde çalışanların eğitim durumuna ve cinsiyete göre sayısını içerir.,Number of employees in newspapers and internet news websites publishing official announcements by their educational level and gender
"TR,DF_RES_ILAN_GAZ_INT_HAB_KADRO_CINSIYET,1.0",Resmi ilan yayımlayan gazetelerde ve internet haber sitelerinde çalışanların kadro unvanına ve cinsiyete göre sayısını içerir.,Number of employees of newspapers and internet news websites publishing official announcements by the title of the staff and gender
"TR,DF_BIYOTEK_FAALIYET,1.0",Biyoteknoloji faaliyetinde bulunan girişimlerdir.,Number of enterprises active in biotechnology
"TR,DF_BIYOTEKNLOJI_TEKNIK_FAALIYET,1.0",Biyoteknoloji teknikleri için yürütülen faaliyetlerin sayısını içerir.,Number of enterprises researching/using biotechnology techniques and activities conducted for biotechnology techniques
"TR,DF_BIYOTEK_UYGULAMA,1.0",Biyoteknoloji uygulamalarını kullanan girişimlerin sayısıdır.,Number of enterprises using biotechnology applications
"TR,DF_BIYOTEK_UYGULAMA_FAALIYET,1.0",Biyoteknoloji uygulamaları için yürütülen biyoteknoloji faaliyetlerini içerir.,Number of enterprises using biotechnology applications and biotechnology activitiesc conducted for biotechnology applications
"TR,DF_ADNKS_T07,1.1","Tablo, 2014 yılından itibaren yıllık olarak Türkiye toplamı için hanehalkı tipleri ve büyüklüklerine göre hanehalkı sayısı bilgisini içermektedir. Hanehalkı: aralarında akrabalık bağı bulunsun ya da bulunmasın aynı adreste yaşayan bir veya birden fazla kişiden oluşan topluluk olarak tanımlanmaktadır. Hanehalkı nüfusu belirlenirken toplu yaşam alanlarında (kurumsal yerler, işçi barakaları, misafirhane, otel, vb.) kalanlar hariç tutulmaktadır. Bu tanım uluslararası hanehalkı-konut konseptine (household-dwelling) dayanmaktadır. Hanehalkı tipleri geniş anlamda, ""Tek kişilik hanehalkı"", ""Tek çekirdek aileden oluşan hanehalkı"", ""En az bir çekirdek aile ve diğer kişilerden oluşan hanehalkı"" ve ""Çekirdek aile bulunmayan birden fazla kişiden oluşan hanehalkı"" olarak kategorize edilmektedir. Buna ek olarak, tek çekirdek aileden oluşan hanehalkları ""Sadece eşlerden oluşan çekirdek aile"", ""Eşler ve çocuklardan oluşan çekirdek aile"" ve ""Tek ebeveyn ve çocuklardan oluşan çekirdek aile"" olarak detaylandırılabilmektedir. Ayrıca, tek ebeveyn ve çocuklardan oluşan çekirdek aileler ""Baba ve çocuklardan oluşan çekirdek aile"" ve ""Anne ve çocuklardan oluşan çekirdek aile"" olarak detaylandırılabilmektedir.",Number of households by size and type
"TR,DF_ADNKS_T06,1.1","Tablo, 2014 yılından itibaren yıllık olarak il düzeyinde toplam hanehalkı sayısı ve hanehalkı tiplerine göre hanehalkı sayısını bilgisini içermektedir. Hanehalkı: aralarında akrabalık bağı bulunsun ya da bulunmasın aynı adreste yaşayan bir veya birden fazla kişiden oluşan topluluk olarak tanımlanmaktadır. Hanehalkı nüfusu belirlenirken toplu yaşam alanlarında (kurumsal yerler, işçi barakaları, misafirhane, otel, vb.) kalanlar hariç tutulmaktadır. Bu tanım uluslararası hanehalkı-konut konseptine (household-dwelling) dayanmaktadır. Hanehalkı tipleri geniş anlamda, ""Tek kişilik hanehalkı"", ""Tek çekirdek aileden oluşan hanehalkı"", ""En az bir çekirdek aile ve diğer kişilerden oluşan hanehalkı"" ve ""Çekirdek aile bulunmayan birden fazla kişiden oluşan hanehalkı"" olarak kategorize edilmektedir.",Number of households by type and provinces
"TR,DF_DERGI_YAYIN_SIKLIK,1.0",Resmi reklam yayımlayan dergilerin yayımlanma sıklığına göre sayısını içerir.,Number of magazines publishing official advertisements by frequency of publication
"TR,DF_YURT_ICI_TIRAJ,1.0",Resmi ilan yayımlayan gazetelerin yayımlanma sıklığına göre sayısı ve yıllık yurtiçi tiraj sayısını içerir.,Number of newspapers publishing official announcements by frequency of publication and annual domestic circulation
"TR,DF_AY_YAYM_ILAN_ADET,1.0",Aylara göre yayımlanan resmi ilan adetlerini içerir.,Number of official announcements published by month
"TR,DF_ADNKS_T08,1.1","Tablo, 2014 yılından itibaren yıllık olarak il düzeyinde tiplerine göre tek çekirdek aileden oluşan hanehalkı sayısı bilgisini içermektedir. Hanehalkı: aralarında akrabalık bağı bulunsun ya da bulunmasın aynı adreste yaşayan bir veya birden fazla kişiden oluşan topluluk olarak tanımlanmaktadır. Hanehalkı nüfusu belirlenirken toplu yaşam alanlarında (kurumsal yerler, işçi barakaları, misafirhane, otel, vb.) kalanlar hariç tutulmaktadır. Bu tanım uluslararası hanehalkı-konut konseptine (household-dwelling) dayanmaktadır. Tek çekirdek aileden oluşan hanehalkları ""Sadece eşlerden oluşan çekirdek aile"", ""Eşler ve çocuklardan oluşan çekirdek aile"" ve ""Tek ebeveyn ve çocuklardan oluşan çekirdek aile"" olarak detaylandıralabilmektedir. Ayrıca, tek ebeveyn ve çocuklardan oluşan çekirdek aileler ""Baba ve çocuklardan oluşan çekirdek aile"" ve ""Anne ve çocuklardan oluşan çekirdek aile"" olarak detaylandırılabilmektedir.",Number of one-family households by type and provinces
"TR,DF_SURELI_YAY_IC_TUR,1.0",Süreli yayınların içerik türüne göre sayısını içerir.,Number of periodical publications by type of content
"TR,DF_MUZE_ESER_SAY,1.0",Müzelerdeki eser sayısını içerir.,Number of works in Museums
"TR,DF_YIL_SURELI_YAYINN_SAYI,1.0",Resmi ilan ve reklam alan süreli yayınların yıllara göre sayısını içerir.,Numbers of periodicals receiving official announcements and advertisements by years
"TR,DF_SU_ATIKSU_SEBEKE_TESIS_BELEDIYE_NITELIK_V1,1.0",Belediyelerin içme ve kullanma suyu ve atıksu şebekeleri hizmetlerine ilişkin istatistikleri sunmaktadır.,Number and Population of Municipalities Served by Network and Treatment Plants (by Provinces)
"TR,DF_AY_TUR_RESM_ILAN_ADET,1.0",Aylara ve türlerine göre resmi ilan ve reklam bedellerini içerir.,Official announcement and advertisement fees by month and type
"TR,DF_COCUKLARDA_BILISIM_TEKNOLOJILER_T9,1.0",Cinsiyete ve yaş grubuna göre çocukların ekran başında geçirdiği sürelerin neden olduğu durumlar konusundaki düşünceleri,Opinions of the children on the situations caused by the time they spend in front of the screen by sex and age group
"TR,DF_ORGANIK_SUT,1.0",Organik Süt ve Süt Ürünleri - Yıllık Tablosudur.,Organic Milk and Dairy Products- Annual
"TR,DF_ATIK_ORGANIZE_SANAYI_BOLGELERI_V1,1.0",Organize sanayi bölgelerinde oluşan atık miktarına ve atıkların yönetimine ilişkin istatistikleri sunmaktadır.,Organized Industrial Zones Waste Statistics
"TR,DF_UCRETLI_CALISAN_ISTATISTIKLERI_C,1.0",Ücretli Çalışan İstatistikleri ile ilgili verileri içerir.,Paid Employee Statistics
"TR,DF_UCRETLI_CALISAN_ISTATISTIKLERI_O,1.0",Ücretli Çalışan İstatistikleri-Revizyon Geçmişi,Paid Employee Statistics-Revision History
"TR,DF_KISI_BASI_SERA_GAZ_EMISYON,1.1",Kişi Başı Sera Gazı Emisyonu ile ilgili verileri içerir.,Per Capita GHG Emissions
"TR,DF_ULKELER_KISI_BASINA_REEL_GSYH_SGP,1.0",Ülkeler itibarıyla kişi başına reel GSYH değerlerini sunmaktadır.,Per Capita Real GDP by Countries
"TR,DF_ULKELER_KISI_BASINA_HACIM_ENDEKSLERI,1.0",Ülkeler itibarıyla kişi başına hacim endekslerini sunmaktadır.,Per Capita Volume Indices by Countries
"TR,DF_ADNKS_T34,1.1","Tablo, 1 Temmuz 2024 tarihinden itibaren Türkiye toplamı için dönemlik (üçer aylık aralıklarla) yaş grubu ve cinsiyete göre nüfus büyüklüğü ve oranı bilgisi içermektedir. Yaş grupları beşli şekilde 90+'ya kadar verilmiştir. ADNKS'ye dayalı dönemlik nüfus istatistikleri Türkiye geneli için sırasıyla 1 Nisan, 1 Temmuz ve 1 Ekim referans tarihleri için üretilmekte ve 31 Aralık tarihli ADNKS sonuçlarıyla birlikte yayımlanmaktadır. Q1 referans yılın 1 Nisan'ı, Q2 1 Temmuz'u, Q3 1 Ekim'i ve Q4 ise 31 Aralık'ını ifade etmektedir.",Periodic population size and proportion by age group and sex
"TR,DF_TRAFIK_KAZA_YAS_GRUBU_OLEN_YARALANAN_V1,1.0",Trafik kazalarında ölen ve yaralanan kişilerin yaş grubu ve cinsiyete göre dağılımını gösterir.,Persons Killed and Injured in Road Traffic Accidents by Age Groups and Gender
"TR,DF_ISGUCU_CEYREK_SGK_KAYIT_C,1.0",İstihdam edilenlerin sosyal güvenlik kuruluşuna kayıtlı olmama durumu cinsiyet kırılımında çeyreklik olarak sunulmaktadır.,Persons Who Are Not Registered To Social Security Institution Due To Main Job
"TR,DF_COCUKLARDA_BILISIM_TEKNOLOJI_T5,1.0",Cinsiyete ve yaş grubuna göre düzenli cep telefonu/akıllı telefon kullanan çocukların telefon kullanımı davranışları,Phone usage behaviours of children who use mobile phone/smartphone regularly by sex and age group
"TR,DF_ULUSAL_EGITIM_ISTATISTIK_BED_NUFUS,1.0",Bitirilen eğitim durumuna ve cinsiyete göre nüfus ile ilgili verileri içerir.,Population by attained education level and sex
"TR,DF_OKURYAZAR_CINSIYET_NUFUS,1.0",Okuryazarlık ve cinsiyete göre nüfus verilerini içerir.,Population by literacy and sex
"TR,DF_ADNKS_T21,1.1","Tablo, 2008 yılından itibaren Türkiye toplamı için 15+ yaş nüfusun cinsiyete göre yıllık yasal medeni durum bilgisini göstermektedir. Yasal medeni durum sınıflaması ""hiç evlenmedi, evli, boşandı ve eşi öldü"" şeklindedir.",Population by marital status and sex
"TR,DF_ADNKS_T03,1.1","Tablo, 2014 yılından itibaren yıllık olarak doğum yeri düzeyinde cinsiyete göre yurt dışı doğumlu nüfus bilgisini içermektedir. Doğum yeri ""doğum ili"", ""yurt dışı"" ve ""bilinmeyen"" olarak sınıflandırılmıştır.",Population by place of birth and sex
"TR,DF_ADNKS_T05,1.1","Tablo, 2014 yılından itibaren yıllık olarak ikamet edilen il ve doğum yerine göre nüfus bilgisini içermektedir. Doğum yeri ""doğum ili"", ""yurt dışı"" ve ""bilinmeyen"" olarak sınıflandırılmıştır.",Population by province of residence and place of birth
"TR,DF_ADNKS_T4,1.2","Tablo, 2014 yılından itibaren yıllık olarak ikamet edilen il düzeyinde toplam nüfus ve doğum yeri durumuna göre nüfus bilgisini içermektedir. Doğum yeri durumu ""İkamet ettikleri ilde doğanlar"", ""Farklı bir ilde doğanlar"", ""Yurt dışında doğanlar"" ve ""Doğum yeri bilinmeyen"" olarak sınıflandırılmıştır.",Population by province of residence and place of birth status
"TR,DF_ADNKS_T16,1.0","Tablo, 2007 yılından itibaren yaş grubu ve cinsiyete göre illerin yıllık nüfus bilgisini içermektedir. Yaş grupları beşli şekilde 90+'ya kadar verilmiştir.","Population by province, age group and sex"
"TR,DF_ADNKS_T10,1.1","Tablo, 2008 yılından itibaren 15+ yaş nüfusun il düzeyinde cinsiyete göre yıllık yasal medeni durum bilgisini göstermektedir. Yasal medeni durum sınıflaması ""hiç evlenmedi, evli, boşandı, eşi öldü ve bilinmeyen"" şeklindedir.","Population by province, marital status and sex"
"TR,DF_ADNKS_T36,1.1","Tablo, 2022 yılından itibaren Türkiye toplamı için yaş grubu, cinsiyet ve kent-kır sınıflamasına göre nüfus bilgisini içermektedir. Yaş grupları beşli şekilde 90+'ya kadar verilmiştir. Avrupa İstatistik Ofisi tarafından geliştirilen ve ""yoğun kent, orta yoğun kent ve kır” ayrımında oluşturulan yeni kent-kır sınıflamasında ""Kentleşme Derecesi (Degree of Urbanisation-DEGURBA)"" esas alınmıştır. Bu sınıflama, 1 km2'lik alanlar olarak tanımlanan gridler üzerinden nüfus yoğunluğuna bağlı olarak bir alanın kent-kır özelliklerini göstermektedir. Veri kaynağı olarak Mekânsal Adres Kayıt Sistemi (MAKS) ve 31 Aralık tarihli Adrese Dayalı Nüfus Kayıt Sistemi (ADNKS) kullanılmıştır. Sınıflamaya göre yoğun kent, nüfusun en az %50’sinin kent merkezi gridlerinde (1 km2’lik alanlar) yaşadığı mahalle ve köyleri; orta yoğun kent, yoğun kent ve kır olma koşullarını sağlamayan mahalle ve köyleri; kır ise nüfusun %50’sinden fazlasının kırsal gridlerde (1 km2’lik alanlar) yaşadığı mahalle ve köyleri ifade etmektedir. Kentsel sınıfı belirlenen mahalle ve köylerin nüfusları toplulaştırılarak yeni kent-kır tanımına göre bölge, il ve ilçe düzeyinde nüfuslar elde edilmektedir.","Population by urban-rural classification, age group and sex"
"TR,DF_ADNKS_T37,1.1","Tablo, 2022 yılından itibaren cinsiyet ve kent-kır sınıflamasına göre illerin nüfus bilgisini içermektedir. Avrupa İstatistik Ofisi tarafından geliştirilen ve ""yoğun kent, orta yoğun kent ve kır” ayrımında oluşturulan yeni kent-kır sınıflamasında ""Kentleşme Derecesi (Degree of Urbanisation-DEGURBA)"" esas alınmıştır. Bu sınıflama, 1 km2'lik alanlar olarak tanımlanan gridler üzerinden nüfus yoğunluğuna bağlı olarak bir alanın kent-kır özelliklerini göstermektedir. Veri kaynağı olarak Mekânsal Adres Kayıt Sistemi (MAKS) ve 31 Aralık tarihli Adrese Dayalı Nüfus Kayıt Sistemi (ADNKS) kullanılmıştır. Sınıflamaya göre yoğun kent, nüfusun en az %50’sinin kent merkezi gridlerinde (1 km2’lik alanlar) yaşadığı mahalle ve köyleri; orta yoğun kent, yoğun kent ve kır olma koşullarını sağlamayan mahalle ve köyleri; kır ise nüfusun %50’sinden fazlasının kırsal gridlerde (1 km2’lik alanlar) yaşadığı mahalle ve köyleri ifade etmektedir. Kentsel sınıfı belirlenen mahalle ve köylerin nüfusları toplulaştırılarak yeni kent-kır tanımına göre bölge, il ve ilçe düzeyinde nüfuslar elde edilmektedir.","Population by urban-rural classification, sex and provinces"
"TR,DF_ADNKS_T27,1.1","Tablo, 1935 yılından itibaren Türkiye toplamı için geniş yaş grubu ve cinsiyete göre nüfus büyüklükleri ve oranı bilgisini içermektedir. Geniş yaş grupları ""0-14, 15-64 ve 65+"" şeklindedir. 1935-2000 dönemi için bilgiler: 1935-1990 döneminde 5 yılda bir ve sonuncusu 2000 yılında gerçekleştirilen Genel Nüfus Sayımı (GNS) sonuçlarına göre verilmiştir. 2007 yılından itibaren ise yıllık bilgiler Adrese Dayalı Nüfus Kayıt Sistemi (ADNKS) sonuçlarıdır.","Population by years, age group and sex, Population Censuses - ABPRS"
"TR,DF_ADNKS_T20,1.1","Tablo, 2007 yılından itibaren yıllık olarak il düzeyinde nüfus yoğunluğu bilgisini içermektedir. Nüfus yoğunluğu, bir kilometrekareye düşen nüfus olarak tanımlanmaktadır ve nüfusun kilometrekare cinsinden yüzölçümüne bölünmesiyle hesaplanmaktadır. Uluslararası tanımlar gereğince; nüfus yoğunluğu göstergesi “ülke içi su kütleleri (doğal ve baraj gölleri, nehirler ve kıta sahanlığı vb.)” hariç karasal yüzölçümü kullanılarak hesaplanmaktadır.",Population density by provinces
"TR,DF_ADNKS_T15,1.1","Tablo, 2007 yılından itibaren Türkiye toplamı için yaş grubu ve cinsiyete göre yıllık il/ilçe merkezleri ve belde/köy nüfusu bilgisini içermektedir. Yaş grupları beşli şekilde 90+'ya kadar verilmiştir.",Population of province/district centers and towns/villages by age group and sex
"TR,DF_ADNKS_T14,1.1","Tablo, 2007 yılından itibaren yıllık olarak il düzeyinde nüfus yoğunluğu, cinsiyete göre toplam nüfus, il/ilçe merkezleri ve belde/köy nüfusu bilgisini içermektedir.",Population of province/district centers and towns/villages by province and sex by province
"TR,DF_ADNKS_T26,1.1","Tablo, 1927 yılından itibaren Türkiye toplamı için cinsiyete göre il/ilçe merkezleri ve belde/köy nüfusu bilgisini içermektedir. 1927-2000 dönemi için bilgiler: ilki 1927 yılında, 1935-1990 döneminde 5 yılda bir ve sonuncusu 2000 yılında gerçekleştirilen Genel Nüfus Sayımı (GNS) sonuçlarına göre verilmiştir. 2007 yılından itibaren ise yıllık bilgiler Adrese Dayalı Nüfus Kayıt Sistemi (ADNKS) sonuçlarıdır.","Population of province/district centers and towns/villages by years and sex, Population Censuses - ABPRS"
"TR,DF_ADNKS_T22,1.1","Tablo, son yıl için il ve ilçe düzeyinde toplam nüfus ve il/ilçe merkezleri ile belde/köy nüfusu bilgisini içermektedir.","Population of province/district centers, towns/villages by provinces and districts"
"TR,DF_ADNKS_T35,1.1","Tablo, 2007 yılından itibaren il düzeyinde yıllık toplam nüfus, geniş yaş gruplarına göre nüfus bilgisini içermektedir. Geniş yaş grupları ""0-14, 15-64 ve 65+"" şeklindedir.",Population of provinces by broad age groups
"TR,DF_ADNKS_T30,1.1","Tablo, 2000 yılından itibaren il düzeyinde nüfus büyüklüğü bilgisini içermektedir. 2000-2006 dönemi yıl sonu nüfusları, ADNKS sonuçlarına göre tahmin edilmiştir. Rakamlar yuvarlamadan dolayı toplamı vermeyebilir. 2007 yılından itibaren ise yıllık bilgiler Adrese Dayalı Nüfus Kayıt Sistemi (ADNKS) sonuçlarıdır.",Population of provinces by years
"TR,DF_ADNKS_T17,1.1","Tablo, 2007 yılından itibaren Türkiye toplamı için yıllık olarak nüfus, nüfus artış hızı, nüfus yoğunluğu ve yerleşim yerlerinin türlerine göre sayısı bilgilerini içermektedir.Yıllık nüfus artış hızları hesaplanırken son yıl idari bölünüş yapısı dikkate alınmaktadır. Nüfus yoğunluğu, bir kilometrekareye düşen nüfus olarak tanımlanmaktadır ve nüfusun kilometrekare cinsinden yüzölçümüne bölünmesiyle hesaplanmaktadır. Uluslararası tanımlar gereğince; nüfus yoğunluğu göstergesi “ülke içi su kütleleri (doğal ve baraj gölleri, nehirler ve kıta sahanlığı vb.)” hariç karasal yüzölçümü kullanılarak hesaplanmaktadır. Tablodaki keskin artış/azalışlar için lütfen dipnotlarını okuyunuz.","Population, annual growth rate of population, number of provinces, districts, towns, villages, and population density"
"TR,DF_GUVEN_ENDEKS_FAALIYET_ARTTIRMA_SDMX,1.0","Sektörlere göre mevcut kaynaklarında bir değişiklik yapmadan, talep artışı karşısında girişimlerin faaliyetlerini arttırabilme durumları (%)",Possible rates on the enterprises' status of activities to increase in the case of increased demand without any change in their current resources by sectors (%)
"TR,DF_KUMES_HAYVANCILIK_URUN_V1,1.0",Kümes Hayvancılığı Ürünleri Tablosudur.,Poultry products
"TR,DF_ULKELER_FIYAT_DUZEYI_ENDEKSLERI,1.0",Ülkeler itibarıyla fiyat düzeyi endekslerini sunmaktadır.,Price Level Indices by Countries
"TR,DF_ULKELER_FIILI_BIREYSEL_TUKETIM_ENDEKS_V2,1.0",Ülkeler itibarıyla fiili bireysel tüketime ilişkin fiyat düzeyi endeksleridir.,Price level indices for actual individual consumption by countries
"TR,DF_TARIM_URUNLERI_UFE_MADDE_FIYAT_V2,1.0","Tarım ÜFE Madde Fiyatları tablosu, endeks kapsamındaki maddelere ait aylık ortalama fiyat bilgilerini sunmaktadır.",Producer Price Index of Agricultural Products [2020=100] Item Prices (TL)
"TR,DF_TARIM_URUNLERI_UFE_DEGISIM_V1,1.0","Tarım Ürünleri Üretici Fiyat Endeksi ve Değişim Oranları tablosu, temel endeks değerleri ile aylık ve yıllık değişim oranlarını sunmaktadır.",Producer Price Index of Agricultural Products and Rates of Change [2020=100]
"TR,DF_EVLENME_1617_ORAN,1.0",Yıllar itibarıyla illere göre 16-17 yaş grubundaki evliliklerin toplam evlilikler içindeki oranıdır.,Proportion of 16-17 Age Group Marriage by Provinces
"TR,DF_DOGUM_SIRA_C,1.0",Yıllar itibarıyla doğum sırasına göre doğumların oranıdır.,Proportion of Births by Birth Order
"TR,DF_COCUK_BILISIM_TEKNO_KULLANIM_ORAN_CINSIYET_YAS,1.1",Cinsiyete ve yaş grubuna göre çocukların bilişim teknolojileri kullanım oranı,Proportion of ICT usage for children by sex and age group
"TR,DF_BILISIM_TEKNOLOJILERI_KULLANIM_T7,1.0",Cinsiyete ve yaş grubuna göre çocukların sadece kendi kullanımında olan bilişim teknolojileri ürünlerinin oranı,Proportion of children using ICT products for their own use alone by sex and age group
"TR,DF_DIJITAL_OYUN_DUSUNCE_T__8,1.0",Cinsiyete ve yaş grubuna göre düzenli dijital oyun oynayan çocukların dijital oyun oynama konusundaki düşünceleri,Proportion of children using ICT products for their own use alone by sex and age group
"TR,DF_COCUKLARDA_BLISIM_TEKNOLOJILERI_T4,1.0",Cinsiyete ve yaş grubuna göre çocukların sosyal medya platformlarını kullanım oranı,Proportion of children using social media platforms by sex and age group
"TR,DF_BILISIM_UZMAN,1.0",Büyüklük grubuna göre bilgi ve iletişim uzmanı istihdam eden girişimlerin oranını içerir.,Proportion of enterprises employing ICT/IT specialists by size group (%)
"TR,DF_WEB_SITE_SAHIP_GIRISIM_ORAN,1.0",Ekonomik faaliyet ve büyüklük grubuna göre web sitesi sahibi girişimlerin oranını içerir.,Proportion of enterprises having website by economic activity and size group
"TR,DF_WEB_SITE_SAHIP_GIRISIM_ORAN_V1,1.0",Ekonomik faaliyet ve büyüklük grubuna göre web sitesi sahibi girişimlerin oranını içerir.,Proportion of enterprises having website by economic activity and size group
"TR,DF_BILISIM_UZMAN_ALIM,1.0",Büyüklük grubuna göre bilgi ve iletişim uzmanı işe alan veya almayı deneyen ve alım sürecinde güçlükle karşılaşan girişimlerin oranı içerir.,Proportion of enterprises recruited or tried to recruit ICT/IT specialists and having difficulties to fill vacancies by size group (%)
